indonesia,minang_ground_truth,hasil_terjemahan,bleu_score,meteor_score,ter_score,chrf_score
"secara sosial, proses kerja pilakuik juga nilai strategis yang tersimpan di dalamnya diinternalisasi dalam usaha menyadarkan warga yang enggan terlibat dalam kerja sosial","sacaro sosial, proses karajo pilakuik jo nilai strategis nan tacimpan di dalamnyo diinternalisasi dalam usaho manyadarkan warga nan enggan terlibat dalam karajo sosial","sacaro sosial, proses karajo pilakukan juo nilai strategis nan tasimpan di dalamnyo diinternalisasi dalam usaho manyadaran warga nan anggan talibat dalam karajo sosial",41.39483879150052,0.7419624485596708,26.08695652173913,86.00230934094718
"para ulama berbedabeda dalam menyebut nama ketujuh tokoh tabi'in tersebut, namun pada umumnya menyebutkan bahwa mereka adalah123","para ulama babedabeda dalam manyabuik namo katujuah tokoh tabi'in tasabuik, namun pado umumnyo manyabuik sabagai barikuik123","para ulama babeda-beda dalam manyabuik namo katujuh tokoh tabi'in tasabuik, namun pado umumnyo manyabuikkan baso mareka adolah 123",40.85639059221914,0.6724402454780362,43.75,79.72451389068732
falsafah tersebut tercermin pula pada bentuk arsitektur rumah adat bodi chaniago yang ditandai dengan tidak terdapatnya anjuang pada kedua sisi bangunan rumah gadang,falsafah tasabuik tacamin pulo pado bantuak arsitektur rumah adaik bodi chaniago nan ditandoi jo indak adonyo anjuang pado kadua sisi bangunan rumah gadang,falsafah tasabuik tacamin pulo pado bantuak arsitektur rumah adaik bodi chaniago nan ditandoi jo indak tadapeknyo anjuang pado kaduo sisi bangunan rumah gadang,76.74174160136336,0.9117125110913931,8.695652173913043,93.12482742583131
dalam air boleh dianjuk,dalam aia buliah di ajuak,dalam aia buliah dianjuak,46.30777161991026,0.600907029478458,40.0,85.62210976925142
"isi pesan berupa kata kata tes sepenuhnya dilupakan, kemungkinan pesan pertama yang dikirimkannya adalah qwertyuiop atau huruf serupa, kata ray dalam akun flickr miliknya.","isi pasan barupo kato kato tes sapanuhnyo dilupoan, kamungkinan pasan patamo nan dikirimnyo adolah qwertyuiop atau huruf sarupo, kato ray dalam akun flickr miliknya.","isi pasan barupo kato-kato tes sapanuahnyo dilupakan, kamungkinan pasan patamo nan dikirimkannyo adolah qwertyuiop atau huruf sarupo, kato ray dalam akun flickr miliknyo.",56.839979799673266,0.7754006187357223,25.0,90.19633525268628
"karbohidrat pisang menyediakan energi sedikit lebih lambat dibandingkan dengan gula pasir dan sirup, tetapi lebih cepat dari nasi, biskuit, dan sejenis roti.","karbohidrat pisang manyadiokan energi saketek lebiah lambek dibandiangkan dangan gulo pasia jo sirup, tatapi lebiah capek dari nasi, biskuit, jo sajanih roti.","karbohidrat pisang manyadioan energi saketek labiah lambek dibandiangan jo gulo pasia dan sirup, tatapi labiah capek dari nasi, biskuit, dan sajinih roti.",30.573578766079684,0.7034945663754526,36.36363636363637,77.76832902995226
"selanjutnya pada tahun 2008 ia meneruskan studinya di governance and law program nagoya university, jepang, untuk program s2 dan menyelesaikannya pada tahun 2011","sasudah tu, pado taun 2008 inyo manaruihan studinyo ka graduate school of international development, governance and law program di nagoya university, japang, untuak program s2, lalu manyalasaiannyo pado taun 2011","salanjuiknyo pado taun 2008 inyo manaruihan studinyo di governance and law program nagoya university, japang, untuak program s2 dan manyalasaiannyo pado taun 2011",44.308684843748814,0.6562048259757589,36.666666666666664,67.71316233931394
"menginjak di usia ke 63 tahun, kesehatannya mulai menurun dan mengidap sakit komplikasi liver","menginjak di usia ka 63 tahun, kesehatannya mulai menurun dan mengidap sakit komplikasi liver","menginjak di usia ka 63 tahun, kesehatannya mulai menurun dan mengidap sakit komplikasi liver",100.00000000000004,0.9998518518518519,0.0,100.0
komunitas masyarakat suku lahat sebagian besar tinggal di daerahdaerah pegunungan atau area perbukitan yang subur.,komunitas masyarakaik urang lahat sabagian gadang tingga di daerahdaerah pagunuangan atau area pabukikan nan subua.,komunitas masyarakaik suku lahat sabagian gadang tingga di daerah-daerah pagunuangan atau area pabukikan nan subua.,64.1386525898168,0.8706951530612245,13.333333333333334,90.11619053631642
"pusat keragaman utama pisang terletak di daerah malesia asia tenggara, papua dan australia tropika","pusek karagaman utamo pisang talatak di daerah malesia asia tenggara, papua, jo australia tropika","pusek karagaman utamo pisang talatak di daerah malesia asia tenggara, papua dan australia tropika",77.10792371922997,0.8702348864073931,14.285714285714285,93.20462394310658
